-DOCSTART- -X- -X- O
formal JJ O O
complaint NN O O
regarding VBG O O
poor JJ O O
service NN O O
that IN O O
received VBD O O
while IN O O
working VBG O O
with IN O O
"4567 7832 6545 0091" CRE O MSK
/Closing VBG O O
Mark NNP O O
Home NNP O O
Loan NNP O O
. . O O
strongly RB O O
considering VBG O O
submitting VBG O O
Consumer NNP O O
Financial NNP O O
Protection NNP O O
Bureau NNP O O
similar JJ O O
state NN O O
agency NN O O
in IN O O
Colorado NNP O O
and/or NN O O
California NNP O O
as IN O O
feel VBP O O
were VBD O O
instances NNS O O
that WDT O O
pushed VBD O O
boundaries NNS O O
of IN O O
acceptable JJ O O
possible JJ O O
legal JJ O O
behavior NN O O
. . O O

entire JJ O O
loan NN O O
process NN O O
with IN O O
company NN O O
from IN O O
start NN O O
finish VB O O
has VBZ O O
been VBN O O
unprofessional JJ O O
at IN O O
downright VB O O
deceptive JJ O O
potentially RB O O
lifeimpacting VBG O O
. . O O
have VBP O O
forgotten VBN O O
lied VBN O O
put VBD O O
into IN O O
stressful JJ O O
situations NNS O O
that IN O O
frankly RB O O
should MD O O
never RB O O
happen VB O O
through IN O O
multiple JJ O O
account NN O O
officers NNS O O
underwriters NNS O O
asked VBN O O
submit VB O O
documents NNS O O
multiple JJ O O
times NNS O O
told VBN O O
falsehoods NNS O O
upon IN O O
completing VBG O O
closing NN O O
on IN O O
XX/XX/XXXX NNP O O
received VBD O O
letters NNS O O
that WDT O O
appeared VBD O O
be VB O O
informing VBG O O
had VBD O O
denied VBN O O
for IN O O
closed VBD O O
. . O O

following NN O O
is VBZ O O
summarized JJ O O
narrative NN O O
of IN O O
timeline NN O O
from IN O O
starting VBG O O
prequalification NN O O
process NN O O
closing NN O O
on IN O O
mortgage NN O O
. . O O
has VBZ O O
been VBN O O
compiled VBN O O
based VBN O O
upon IN O O
timestamped JJ O O
communication NN O O
written VBN O O
digital JJ O O
. . O O

started VBD O O
journey NN O O
in IN O O
XX/XX/2019 NNP O O
upon IN O O
starting VBG O O
prequalification NN O O
process NN O O
. . O O
submitted VBD O O
requested VBN O O
information NN O O
XXXX VB O O
XXXX NNP O O
herein NN O O
after IN O O
promptly RB O O
received VBD O O
response NN O O
on IN O O
XX/XX/XXXX NN O O
At IN O O
time NN O O
initial JJ O O
workbook NN O O
which WDT O O
showed VBD O O
expected JJ O O
loan NN O O
amount NN O O
down RB O O
payment NN O O
fees NNS O O
individual JJ O O
that IN O O
with IN O O
was VBD O O
extremely RB O O
responsive JJ O O
helpful JJ O O
answering VBG O O
of IN O O
questions NNS O O
clearly RB O O
. . O O

toured VBD O O
community NN O O
decided VBD O O
that IN O O
was VBD O O
good JJ O O
fit NN O O
for IN O O
. . O O
At IN O O
time NN O O
were VBD O O
given VBN O O
option NN O O
of IN O O
looking VBG O O
outside JJ O O
financing NN O O
options NNS O O
pursuing VBG O O
financing NN O O
with IN O O
related JJ O O
company NN O O
XXXX NNP O O
came VBD O O
builder NN O O
incentives NNS O O
point NN O O
pressured VBN O O
by IN O O
sales NNS O O
team NN O O
go VB O O
However RB O O
as IN O O
had VBD O O
already RB O O
started VBN O O
prequalification NN O O
process NN O O
subsequent JJ O O
hard NN O O
hit VBD O O
credit NN O O
scores NNS O O
because IN O O
very RB O O
good JJ O O
service NN O O
received VBN O O
date NN O O
as RB O O
well RB O O
healthy JJ O O
builder NN O O
incentive NN O O
signed VBD O O
contract NN O O
commitment NN O O
pursue VB O O
mortgage NN O O
through IN O O
contract NN O O
completed VBN O O
on IN O O
XX/XX/XXXX NNP O O
following VBG O O
discussion NN O O
representative NN O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
Saturday NNP O O
reached VBD O O
XXXX NNP O O
representative NN O O
see VB O O
what WP O O
next JJ O O
financing NN O O
steps NNS O O
would MD O O
be VB O O
as IN O O
sales NNS O O
team NN O O
indicated VBD O O
that IN O O
mortgage NN O O
company NN O O
reach VB O O
. . O O
day NN O O
Sunday NNP O O
informed VBD O O
running VBG O O
automated VBN O O
approval NN O O
out RB O O
if IN O O
needed VBD O O
additional JJ O O
documents NNS O O
took VBD O O
mean VB O O
application NN O O
was VBD O O
complete JJ O O
enough RB O O
start VB O O
clock NN O O
in IN O O
process NN O O
At IN O O
point NN O O
had VBD O O
not RB O O
been VBN O O
told VBN O O
required VBN O O
complete VB O O
just RB O O
may MD O O
need NN O O
for IN O O
additional JJ O O
documentation NN O O
. . O O

did VBD O O
not RB O O
hear VB O O
back RB O O
from IN O O
XXXX NNP O O
representative NN O O
after IN O O
point NN O O
. . O O
On IN O O
XX/XX/XXXX NNP O O
Saturday NNP O O
nearly RB O O
full JJ O O
calendar NN O O
weeks NNS O O
last JJ O O
contact NN O O
reached VBD O O
again RB O O
By IN O O
Wednesday NNP O O
emailed VBD O O
sales NNS O O
team NN O O
for IN O O
assistance NN O O
referred VBD O O
president NN O O
of IN O O
mortgage NN O O
company NN O O
were VBD O O
informed VBN O O
company NN O O
that IN O O
that WDT O O
had VBD O O
been VBN O O
handling VBG O O
application NN O O
abruptly RB O O
left VBN O O
XXXX NN O O
passed VBN O O
onto IN O O
case NN O O
manager/loan NN O O
officer NN O O
time NN O O
required JJ O O
loan NN O O
approval NN O O
date NN O O
date NN O O
was VBD O O
stipulated VBN O O
in IN O O
contract NN O O
. . O O

were VBD O O
connected VBN O O
with IN O O
new JJ O O
XXXX NNP O O
representative NN O O
herein NN O O
after IN O O
referred VBN O O
as IN O O
loan NN O O
officer NN O O
who WP O O
informed VBD O O
via IN O O
email NN O O
that IN O O
application NN O O
was VBD O O
incomplete JJ O O
nothing NN O O
had VBD O O
been VBN O O
processed VBN O O
in IN O O
intervening JJ O O
time NN O O
. . O O
Again NNP O O
under IN O O
impression NN O O
complete JJ O O
process NN O O
since IN O O
midXXXX NN O O
At IN O O
point NN O O
again RB O O
nearly RB O O
weeks NNS O O
passed VBN O O
did VBD O O
not RB O O
receive VB O O
formal JJ O O
notification NN O O
of IN O O
incompleteness NN O O
. . O O

During IN O O
subsequent JJ O O
document NN O O
collection NN O O
period NN O O
loan NN O O
officer NN O O
asked VBD O O
could MD O O
put VB O O
half NN O O
percent NN O O
which WDT O O
would MD O O
increase VB O O
down JJ O O
payment NN O O
% NN O O
of IN O O
sales NNS O O
price NN O O
. . O O
agreed VBD O O
that IN O O
afford VB O O
extra JJ O O
if IN O O
was VBD O O
considering VBG O O
FHA NNP O O
loan NN O O
informed VBD O O
looking VBG O O
at IN O O
option NN O O
point NN O O
stated VBD O O
did VBD O O
not RB O O
want VB O O
pursue VB O O
said VBD O O
consider VB O O
see VB O O
financing NN O O
options NNS O O
offer VB O O
be VB O O
provided VBN O O
with IN O O
worksheet NN O O
showing VBG O O
offerings NNS O O
qualify VB O O
for IN O O
so IN O O
pick VB O O
matched VBD O O
needs NNS O O
never RB O O
received VBD O O
product NN O O
comparison NN O O
worksheet NN O O
despite IN O O
written VBN O O
request NN O O
Additionally RB O O
receive VB O O
updated JJ O O
expected JJ O O
costs NNS O O
time NN O O
. . O O

Subsequently RB O O
as IN O O
were VBD O O
loading VBG O O
additional JJ O O
documents NNS O O
into IN O O
XXXX NNP O O
portal NN O O
when WRB O O
noticed VBD O O
that IN O O
had VBD O O
loan NN O O
details NNS O O
section NN O O
available JJ O O
. . O O
opened VBD O O
of IN O O
webpage NN O O
saw VBD O O
loan NN O O
been VBN O O
started VBN O O
under IN O O
FHA NNP O O
program NN O O
despite IN O O
fact NN O O
told VBN O O
officer NN O O
did VBD O O
not RB O O
want VB O O
given VBN O O
worksheet NN O O
showing VBG O O
product NN O O
options NNS O O
communicated VBD O O
emphatically RB O O
fees NNS O O
associated VBN O O
with IN O O
would MD O O
negate VB O O
benefit NN O O
from IN O O
going VBG O O
based VBN O O
upon IN O O
builder NN O O
incentives NNS O O
Additionally RB O O
have VBP O O
strong JJ O O
credit NN O O
scores NNS O O
need VB O O
support NN O O
qualify VB O O
for IN O O
mortgage NN O O
Instead RB O O
giving VBG O O
workbook NN O O
different JJ O O
financing NN O O
changed VBD O O
product NN O O
type NN O O
conventional JJ O O
Again NNP O O
at IN O O
point NN O O
allowed VBD O O
select VB O O
informed VBN O O
only RB O O
offered VBD O O
limited JJ O O
selection NN O O
information NN O O
needed VBD O O
make VB O O
informed JJ O O
decision NN O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
first JJ O O
set NN O O
of IN O O
loan NN O O
disclosure NN O O
documents NNS O O
were VBD O O
not RB O O
talked VBN O O
through IN O O
product NN O O
choices NNS O O
at IN O O
point NN O O
. . O O
promptly RB O O
signed VBD O O
loan NN O O
disclosures NNS O O
after IN O O
saving VBG O O
copy NN O O
reviewing NN O O
in IN O O
detail NN O O
first JJ O O
estimate NN O O
aside RB O O
from IN O O
prequalification NN O O
estimate NN O O
provided VBN O O
XXXX NNP O O
that WDT O O
showed VBD O O
expected JJ O O
costs NNS O O
rate NN O O
fees NNS O O
information NN O O
was VBD O O
ahead RB O O
time NN O O
informed VBN O O
that IN O O
had VBD O O
only RB O O
hours NNS O O
sign VB O O
given VBN O O
options NNS O O
type NN O O
other JJ O O
factor NN O O
Additionally RB O O
offered VBN O O
assistance NN O O
understanding VBG O O
help NN O O
working VBG O O
legalese JJ O O
. . O O

should MD O O
be VB O O
noted VBN O O
that IN O O
were VBD O O
informed VBN O O
only RB O O
by IN O O
disclosures NNS O O
PMI NNP O O
would MD O O
not RB O O
cancellable JJ O O
due JJ O O
rising VBG O O
home NN O O
values NNS O O
. . O O
At IN O O
outset NN O O
original JJ O O
XXXX NNP O O
representative NN O O
implied VBN O O
though IN O O
notably RB O O
did VBD O O
explicitly RB O O
state NN O O
home NN O O
could MD O O
reappraised VBN O O
after IN O O
period NN O O
of IN O O
time NN O O
new JJ O O
value NN O O
used VBN O O
for IN O O
LTV NNP O O
calculation NN O O
Under IN O O
subsequent JJ O O
was VBD O O
apparent JJ O O
cancellable VB O O
via IN O O
loan NN O O
payments NNS O O
compared VBN O O
original JJ O O
appraised JJ O O
closing NN O O
While IN O O
major JJ O O
issue NN O O
is VBZ O O
notable JJ O O
because IN O O
contradictory JJ O O
information NN O O
had VBD O O
outset NN O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
automated JJ O O
email NN O O
informing VBG O O
that IN O O
had VBD O O
updated VBN O O
disclosures NNS O O
sign VB O O
. . O O
did VBD O O
not RB O O
indicate VB O O
what WP O O
changes NNS O O
were VBD O O
loan NN O O
officer NN O O
notify VBP O O
at IN O O
point NN O O
been VBN O O
made VBN O O
Upon IN O O
reviewing VBG O O
addition NN O O
of IN O O
TILA NNP O O
form NN O O
receive VB O O
in IN O O
original JJ O O
packet NN O O
additional JJ O O
fee NN O O
removal NN O O
money NN O O
deposit NN O O
As IN O O
result NN O O
updated JJ O O
indicated VBD O O
would MD O O
owe VB O O
cash NN O O
for IN O O
down JJ O O
payment NN O O
closing NN O O
. . O O

reached VBD O O
same JJ O O
date NN O O
loan NN O O
officer NN O O
received VBD O O
response NN O O
that WDT O O
equated VBD O O
not RB O O
knowing VBG O O
what WP O O
was VBD O O
going VBG O O
on IN O O
. . O O
Upon IN O O
further JJ O O
research NN O O
informed VBD O O
that IN O O
wasnt VBD O O
sure JJ O O
why WRB O O
money NN O O
deposit NN O O
removed VBN O O
would MD O O
make VB O O
get VB O O
updated JJ O O
documents NNS O O
showing VBG O O
amount NN O O
were VBD O O
told VBN O O
be VB O O
confident JJ O O
credit NN O O
given VBN O O
at IN O O
closing NN O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
were VBD O O
introduced VBN O O
via IN O O
email NN O O
loan NN O O
processor NN O O
herein NN O O
after IN O O
loan NN O O
underwriter NN O O
introduction NN O O
came VBD O O
directly RB O O
from IN O O
officer NN O O
was VBD O O
not RB O O
involved VBN O O
in IN O O
. . O O
At IN O O
time NN O O
stated VBD O O
that IN O O
conditionally RB O O
approved VBN O O
dependent JJ O O
upon IN O O
document NN O O
lists NNS O O
list NN O O
be VB O O
provided VBN O O
as RB O O
soon RB O O
as IN O O
possible JJ O O
while IN O O
other JJ O O
due JJ O O
within IN O O
days NNS O O
of IN O O
closing NN O O
point NN O O
about IN O O
month NN O O
half NN O O
out IN O O
which WDT O O
had VBD O O
been VBN O O
originally RB O O
led VBN O O
believe VB O O
application NN O O
complete JJ O O
. . O O

Many JJ O O
of IN O O
documents NNS O O
requested VBN O O
at IN O O
time NN O O
had VBD O O
already RB O O
been VBN O O
submitted VBN O O
as IN O O
part NN O O
original JJ O O
loan NN O O
package NN O O
subsequent JJ O O
package NN O O
initiated VBN O O
by IN O O
officer NN O O
. . O O
resend VB O O
enter VB O O
onto IN O O
online JJ O O
portal NN O O
. . O O

should MD O O
be VB O O
noted VBN O O
at IN O O
point NN O O
sent VBD O O
images NNS O O
pictures NNS O O
of IN O O
several JJ O O
documents NNS O O
loan NN O O
processor NN O O
. . O O
was VBD O O
not RB O O
issue NN O O
did VBD O O
request VB O O
that IN O O
scanned VBN O O
otherwise RB O O
in IN O O
different JJ O O
format NN O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
began VBD O O
reaching VBG O O
out RB O O
loan NN O O
officer NN O O
get VB O O
information NN O O
for IN O O
mortgagee NN O O
clause NN O O
as IN O O
insurance NN O O
agent NN O O
was VBD O O
requesting VBG O O
before IN O O
could MD O O
start VB O O
formal JJ O O
application NN O O
estimate NN O O
process NN O O
side NN O O
. . O O
next JJ O O
day NN O O
were VBD O O
informed VBN O O
that IN O O
new JJ O O
processor NN O O
different JJ O O
from IN O O
current JJ O O
underwriter NN O O
would MD O O
provide VB O O
information NN O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
reached VBD O O
loan NN O O
processor NN O O
as IN O O
had VBD O O
not RB O O
heard VBN O O
from IN O O
since IN O O
submitted VBD O O
documents NNS O O
largely RB O O
completed VBN O O
in IN O O
XXXX NNP O O
. . O O
XX/XX/XXXX NN O O
responded VBD O O
said VBD O O
that IN O O
received VBD O O
everything NN O O
looks VBZ O O
good JJ O O
at IN O O
time NN O O
would MD O O
reach VB O O
closer JJR O O
closing NN O O
did VBD O O
state NN O O
why WRB O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
email NN O O
from IN O O
loan NN O O
officer NN O O
informing VBG O O
that IN O O
XXXX NNP O O
had VBD O O
acquired VBN O O
Closing NNP O O
Mark NNP O O
Home NNP O O
Loans NNP O O
herein NN O O
after IN O O
CMHL NNP O O
mortgage NN O O
application NN O O
would MD O O
be VB O O
by IN O O
. . O O
stated VBD O O
redisclosed VBN O O
need VB O O
sign VB O O
updated JJ O O
disclosures NNS O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
notification NN O O
from IN O O
CMHL NNP O O
stating VBG O O
that IN O O
XXXX NNP O O
mortgage NN O O
application NN O O
had VBD O O
been VBN O O
migrated VBN O O
new JJ O O
platform NN O O
. . O O
new JJ O O
loan NN O O
disclosures NNS O O
at IN O O
time NN O O
. . O O

XX/XX/XXXX NNP O O
letter NN O O
informed VBD O O
that IN O O
would MD O O
be VB O O
receiving VBG O O
updated JJ O O
conditional JJ O O
approval NN O O
. . O O
is VBZ O O
month NN O O
after IN O O
had VBD O O
originally RB O O
been VBN O O
conditionally RB O O
approved VBN O O
loan NN O O
officer NN O O
did VBD O O
not RB O O
reach VB O O
explain VB O O
new JJ O O
application NN O O
started VBN O O
on IN O O
platform NN O O
hence RB O O
process NN O O
was VBD O O
entirely RB O O
document NN O O
application NN O O
though IN O O
explicitly RB O O
made VBN O O
clear JJ O O
completely RB O O
new JJ O O
just RB O O
formality NN O O
due JJ O O
system NN O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
formal JJ O O
scheduling NN O O
request NN O O
for IN O O
closing NN O O
via IN O O
Closing NNP O O
Mark NNP O O
Settlement NNP O O
Services NNPS O O
. . O O
While IN O O
was VBD O O
scheduled VBN O O
had VBD O O
not RB O O
yet RB O O
received VBN O O
approval NN O O
final JJ O O
disclosures NNS O O
instructions NNS O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
options NNS O O
for IN O O
interest NN O O
rate NN O O
lock NN O O
. . O O
option NN O O
sheet NN O O
was VBD O O
sent VBN O O
only RB O O
with IN O O
instructions NNS O O
look VB O O
at IN O O
Options NNP O O
explanation NN O O
calculations NNS O O
differences NNS O O
other JJ O O
factors NNS O O
Upon IN O O
reviewing VBG O O
only JJ O O
that IN O O
could MD O O
follow VB O O
math NN O O
Option NNP O O
Given VBN O O
previous JJ O O
difficulties NNS O O
in IN O O
obtaining VBG O O
information NN O O
from IN O O
loan NN O O
officer NN O O
decided VBD O O
lock VB O O
Based VBN O O
math NN O O
did VBD O O
not RB O O
appear VB O O
conform VB O O
standard VB O O
amortization NN O O
listed JJ O O
rates NNS O O
again RB O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
updated JJ O O
disclosures NNS O O
for IN O O
interest NN O O
rate NN O O
lock NN O O
. . O O
disclosure NN O O
like IN O O
previous JJ O O
did VBD O O
not RB O O
have VB O O
charge NN O O
points NNS O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
email NN O O
from IN O O
president NN O O
of IN O O
mortgage NN O O
company NN O O
. . O O
informed VBD O O
that IN O O
XXXX NNP O O
was VBD O O
legally RB O O
required VBN O O
close VB O O
application NN O O
would MD O O
soon RB O O
be VB O O
receiving VBG O O
notice NN O O
XXXX NN O O
that WDT O O
show VB O O
no RB O O
longer RB O O
had VBD O O
active JJ O O
in IN O O
system NN O O
for IN O O
stated VBD O O
communication NN O O
receive VB O O
could MD O O
include VB O O
language NN O O
stated VBN O O
denied VBN O O
not RB O O
impact VB O O
ongoing VBG O O
application NN O O
with IN O O
CMHL NNP O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
Changed NNP O O
Circumstance NNP O O
letter NN O O
. . O O
letter NN O O
added VBD O O
fee NN O O
amounting VBG O O
% NN O O
of IN O O
loan NN O O
amount NN O O
as IN O O
points NNS O O
part NN O O
origination NN O O
costs NNS O O
fee NN O O
was VBD O O
not RB O O
explained VBN O O
stated VBD O O
that IN O O
due JJ O O
credit NN O O
report/credit NN O O
score NN O O
credit NN O O
report/mortgage NN O O
insurance NN O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
email NN O O
titled VBN O O
XXXX/XXXX NNP O O
XXXX NNP O O
Conditional NNP O O
Loan NNP O O
Approval NNP O O
. . O O
included VBD O O
list NN O O
of IN O O
new JJ O O
documents NNS O O
provide VB O O
including VBG O O
disclosures NNS O O
new JJ O O
bank NN O O
statements NNS O O
paystubs NN O O
insurance NN O O
quote NN O O
college NN O O
transcripts NNS O O
should MD O O
be VB O O
noted VBN O O
that IN O O
were VBD O O
told VBN O O
in IN O O
body NN O O
needed VBN O O
provided VBN O O
asap RB O O
At IN O O
point NN O O
not RB O O
offered VBN O O
secure JJ O O
way NN O O
send VB O O
could MD O O
email VB O O
back RB O O
loan NN O O
processor NN O O
directly RB O O
fax VB O O
. . O O

At IN O O
point NN O O
were VBD O O
also RB O O
informed VBN O O
that IN O O
could MD O O
not RB O O
send VB O O
pictures NNS O O
of IN O O
documents NNS O O
loan NN O O
processor NN O O
despite IN O O
having VBG O O
been VBN O O
able JJ O O
images NNS O O
previously RB O O
. . O O
While IN O O
navigable JJ O O
put VBD O O
fair JJ O O
amount NN O O
undue JJ O O
pressure NN O O
on IN O O
as IN O O
had VBD O O
find VB O O
way NN O O
scan VB O O
be VB O O
via IN O O
email NN O O
found VBD O O
significant JJ O O
pressure NN O O
from IN O O
provide VB O O
quickly RB O O
XX/XX/XXXX NNP O O
received VBD O O
disclosures NNS O O
sign VB O O
XX/XX/XXXX NN O O
emailed VBD O O
officer NN O O
asked VBD O O
if IN O O
final JJ O O
set NN O O
listed JJ O O
cash NN O O
close VB O O
amount NN O O
was VBD O O
needed VBD O O
get VB O O
cashiers NNS O O
check VBP O O
for IN O O
closing NN O O
given VBN O O
. . O O

XX/XX/XXXX NN O O
documents NNS O O
additionally RB O O
included VBD O O
waiver NN O O
for IN O O
receipt NN O O
of IN O O
appraisal NN O O
within IN O O
timing NN O O
required VBN O O
by IN O O
ECOA NNP O O
section NN O O
. . O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
received VBD O O
appraisal NN O O
property NN O O
. . O O
appraisal NN O O
had VBD O O
been VBN O O
completed VBN O O
XX/XX/XXXX NN O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
emailed VBD O O
loan NN O O
officer NN O O
ask VB O O
about IN O O
what WP O O
name NN O O
put VB O O
cashiers NNS O O
check VBP O O
for IN O O
closing NN O O
as IN O O
never RB O O
received VBD O O
instructions NNS O O
. . O O
While IN O O
email NN O O
was VBD O O
sent VBN O O
Saturday NNP O O
had VBD O O
previously RB O O
received VBN O O
prompt JJ O O
responses NNS O O
from IN O O
parties NNS O O
even RB O O
weekends NNS O O
reason NN O O
believe VB O O
that IN O O
would MD O O
not RB O O
hear VB O O
back RB O O
prior RB O O
closing VBG O O
. . O O

received VBD O O
further JJ O O
communication NN O O
from IN O O
mortgage NN O O
company NN O O
of IN O O
agents NNS O O
prior RB O O
closing NN O O
. . O O
. . O O

On IN O O
XX/XX/XXXX NNP O O
closed VBD O O
mortgage NN O O
. . O O
appointment NN O O
close VB O O
was VBD O O
at IN O O
XXXX NNP O O
arrived VBD O O
approximately RB O O
as IN O O
previous JJ O O
meeting NN O O
for IN O O
day NN O O
had VBD O O
ended VBN O O
quickly RB O O
than IN O O
expected VBN O O
were VBD O O
prepared VBN O O
wait VB O O
until IN O O
closing NN O O
agent NN O O
came VBD O O
around IN O O
told VBD O O
that IN O O
application NN O O
not RB O O
yet RB O O
been VBN O O
approved VBN O O
by IN O O
CMHL NNP O O
result NN O O
still RB O O
waiting VBG O O
documents NNS O O
also RB O O
informed VBD O O
received VBN O O
final JJ O O
closing NN O O
disclosure NN O O
cash NN O O
amount NN O O
ben VBN O O
finalized VBN O O
. . O O

At IN O O
about RB O O
XXXX NNP O O
closing NN O O
agent NN O O
informed VBD O O
that IN O O
had VBD O O
received VBN O O
several JJ O O
closing NN O O
disclosures NNS O O
for IN O O
application NN O O
day NN O O
. . O O
then RB O O
stated VBD O O
final JJ O O
amount NN O O
been VBN O O
set VBN O O
by IN O O
CMHL NNP O O
as IN O O
confirmed VBN O O
recent JJ O O
disclosure NN O O
with IN O O
wire NN O O
processor NN O O
were VBD O O
short JJ O O
on IN O O
original JJ O O
check NN O O
which WDT O O
was VBD O O
stated VBN O O
amount NN O O
previously RB O O
noted VBN O O
forced VBN O O
go VB O O
back RB O O
bank NN O O
come VB O O
spot NN O O
be VB O O
able JJ O O
close VB O O
point NN O O
documents NNS O O
not RB O O
yet RB O O
available JJ O O
. . O O

signed VBD O O
documents NNS O O
at IN O O
XXXX NNP O O
PM NNP O O
on IN O O
XX/XX/XXXX NNP O O
. . O O
waited VBD O O
settlement NN O O
office NN O O
until IN O O
nearly RB O O
for IN O O
final JJ O O
wire NN O O
be VB O O
sent VBN O O
by IN O O
processing NN O O
agent NN O O
were VBD O O
given VBN O O
explanation NN O O
significant JJ O O
wait NN O O
. . O O

After IN O O
closing NN O O
returned VBD O O
thencurrent JJ O O
residence NN O O
for IN O O
night NN O O
. . O O
checked VBD O O
mail NN O O
found VBD O O
letters NNS O O
which WDT O O
were VBD O O
mailed VBN O O
of IN O O
stated VBD O O
that IN O O
loan NN O O
had VBD O O
been VBN O O
denied VBN O O
dated VBN O O
XX/XX/XXXX NNP O O
not RB O O
postmarked VBN O O
until IN O O
related VBN O O
handoff NN O O
from IN O O
XXXX NNP O O
CMHL NNP O O
As IN O O
previously RB O O
noted VBN O O
told VBN O O
in IN O O
may MD O O
receive VB O O
formal JJ O O
denial JJ O O
letter NN O O
due JJ O O
new JJ O O
application NN O O
being VBG O O
opened VBN O O
given VBN O O
by IN O O
discrepancy NN O O
between IN O O
postmark NN O O
dates NNS O O
appears VBZ O O
held VBN O O
reason NN O O
was VBD O O
at IN O O
point NN O O
process NN O O
. . O O

following JJ O O
day NN O O
XX/XX/XXXX NNP O O
received VBD O O
email NN O O
from IN O O
loan NN O O
officer NN O O
apologizing VBG O O
for IN O O
delay NN O O
in IN O O
response NN O O
question NN O O
regarding VBG O O
closing NN O O
statement NN O O
that IN O O
hoped VBD O O
went VBD O O
okay RB O O
. . O O
comments NNS O O
were VBD O O
included VBN O O
fact NN O O
had VBD O O
not RB O O
been VBN O O
approved VBN O O
of IN O O
did VBD O O
respond VB O O
. . O O

In IN O O
summary JJ O O
entire JJ O O
process NN O O
was VBD O O
fraught JJ O O
full JJ O O
of IN O O
miscommunications NNS O O
lack NN O O
communication NN O O
. . O O
grievances NNS O O
are VBP O O
summarized VBN O O
below IN O O
application NN O O
forgotten VBN O O
by IN O O
mortgage NN O O
company NN O O
as IN O O
original JJ O O
representative NN O O
left VBD O O
nobody NN O O
picked VBD O O
caseload NN O O
. . O O

application NN O O
was VBD O O
implied VBN O O
have VB O O
been VBN O O
complete JJ O O
in IN O O
process NN O O
with IN O O
original JJ O O
representative NN O O
. . O O
. . O O

o NN O O
At IN O O
point NN O O
did VBD O O
receive VB O O
formal JJ O O
notice NN O O
of IN O O
incompleteness NN O O
despite IN O O
ongoing JJ O O
requests NNS O O
for IN O O
information NN O O
over IN O O
several JJ O O
months NNS O O
. . O O
. . O O

o IN O O
were VBD O O
not RB O O
given VBN O O
complete JJ O O
checklist NN O O
of IN O O
information NN O O
that IN O O
would MD O O
need VB O O
provide VB O O
throughout IN O O
life NN O O
application NN O O
approval NN O O
process NN O O
. . O O
. . O O

were VBD O O
not RB O O
given VBN O O
product NN O O
comparisons NNS O O
between IN O O
available JJ O O
options NNS O O
despite IN O O
multiple JJ O O
requests NNS O O
for IN O O
such JJ O O
information NN O O
. . O O
. . O O

were VBD O O
originally RB O O
put VBN O O
into IN O O
product NN O O
type NN O O
that IN O O
explicitly RB O O
stated VBD O O
did VBD O O
not RB O O
want VB O O
. . O O
. . O O

o RB O O
While IN O O
do VBP O O
not RB O O
know VB O O
details NNS O O
of IN O O
XXXX/CMHL NNP O O
compensation NN O O
structure NN O O
have VBP O O
been VBN O O
informed VBN O O
by IN O O
multiple JJ O O
individuals NNS O O
from IN O O
outside JJ O O
financial JJ O O
institutions NNS O O
that IN O O
FHA NNP O O
loans NNS O O
often RB O O
generate VBP O O
larger JJR O O
incentive JJ O O
fee NN O O
for IN O O
loan NN O O
officer NN O O
. . O O
believe VBP O O
could MD O O
be VB O O
reason NN O O
initial JJ O O
assignment NN O O
. . O O

were VBD O O
given VBN O O
contradictory JJ O O
information NN O O
throughout IN O O
process NN O O
. . O O
includes VBZ O O
receiving NN O O
documents NNS O O
which WDT O O
did VBD O O
not RB O O
include VB O O
in IN O O
cash NN O O
had VBD O O
already RB O O
paid VBN O O
while IN O O
was VBD O O
resolved VBN O O
issue NN O O
never RB O O
explained VBN O O
. . O O

were VBD O O
not RB O O
given VBN O O
explanations NNS O O
for IN O O
multiple JJ O O
adjustments NNS O O
changes NNS O O
fees NNS O O
amounts NNS O O
through IN O O
out IN O O
process NN O O
. . O O
. . O O

o IN O O
loan NN O O
officer NN O O
did VBD O O
not RB O O
make VB O O
attempt NN O O
explain VB O O
of IN O O
forms NNS O O
procedures NNS O O
documents NNS O O
that IN O O
received VBD O O
. . O O
were VBD O O
forced VBN O O
attempt NN O O
at IN O O
understanding VBG O O
files NNS O O
had VBD O O
sign VB O O
. . O O

o NN O O
When WRB O O
setting VBG O O
rate NN O O
lock NN O O
loan NN O O
officer NN O O
